skos:Concept,skos:inScheme,skos:broader,skos:closeMatch,skos:exactMatch,skos:prefLabel@fr,skos:altLabel@fr,skos:hiddenLabel@fr,skos:prefLabel@en,skos:altLabel@en,rdfs:comment@fr,cad:TFNBGroup
Cassis,NatureList,Plantation,,,Plantation de cassis,,,Blackcurrant,,,9
Cedratiers,NatureList,Plantation,,,Plantation de cédratier,Cédratier,,Cedrate tree,Citron tree,,3
Cerisaies,NatureList,Plantation,,,Cerisaies,"Cerise,Plantation de cerises",,Cherry orchard,,,3
Chantier,NatureList,NatureNonBatie,,,Chantier,Dépôt de marchandises,,Construction site,,,13
Charmille,NatureList,NatureNonBatie,,,Charmille,Allée couverte,,Tree tunnel,,,11
Chataigneraie,NatureList,NatureNonBatie,,,Châtaigneraies,,,Chestnut grove,,"Cadastre actuel : Dans les régions où les châtaigneraies sont exploitées principalement en vue de la récolte des châtaignes, ces pro­priétés doivent être rangées dans le 3e groupe; là où elles sont surtout destinées à la pro­duction du bois, il y a lieu de les classer dans le 5e groupe.","3,5"
Chemin,NatureList,NatureNonBatie,,,Chemin,,,Path,Walk,,
ChemindeFer,NatureList,NatureNonBatie,,,Chemin de fer,,,Railway,,"Cadastre actuel : Abstraction faite, bien entendu, des dépendances sus­ceptibles d'être considérées comme sols de propriétés bâties, lesquelles doivent être rangées dans le 13e groupe",12
Cheneviere,NatureList,NatureNonBatie,,,Chenevière,"Champ de chanvre,Chanvre",,Hemp field,,,1
Cimetiere,NatureList,NatureBatie,,,Cimetiere,,,Cemetery,,,
Citronnier,NatureList,Plantation,,,Plantation de citronnier,Citron,,Lemon tree,,,3
Clos,NatureList,NatureNonBatie,,,Clos,,,Fenced lot,,,
Cour,NatureList,NatureBatie,,,Cour,,,Courtyard,,,13
CourCommune,NatureList,Cour,,,Cour commune,,,Shared courtyard,,,
Courtil,NatureList,NatureNonBatie,Jardin,,Courtil,,,Fenced garden,,,
CoursDEau,NatureList,NatureNonBatie,,,Cours d'eau,,,Waterway,"River,stream",,8
Crayere,NatureList,NatureNonBatie,,,Crayère,"Carrière de craie,Craie",,Chalk quarry,,,7
Cressonniere,NatureList,NatureNonBatie,,,Cressonnière,Cresson,,Watercress,,,9
Cuisine,NatureList,NatureBatie,,,Cuisine,,,Kitchen,,,
Dependance,NatureList,NatureBatie,Batiment,,Dépendance,,,Outbuilding,,,
Digue,NatureList,NatureNonBatie,,,Digue,,,Dyke,Seawall,,8
Douve,NatureList,NatureNonBatie,,,Douve,,,Moat,,,8
